contract_name_links-href,Name,description,ContractType,LeadAgency
https://www.procurement.govt.nz/contracts/risk-financing-and-insurance/,Risk financing and insurance,"Specialist insurance management, advisory and broking services from an All-of-Government panel of risk financing and insurance intermediaries.",All-of-Government,"Ministry of Business, Innovation and Employment"
https://www.procurement.govt.nz/contracts/it-hardware/,IT hardware,"The All-of-Government IT hardware contract covers a wide range of products including desktops, laptops, tablets, thin clients, monitors, peripherals, Chromebooks, mobile phones, meeting room equipment and associated services.",All-of-Government,"Ministry of Business, Innovation and Employment"
https://www.procurement.govt.nz/contracts/banking-services/,Banking services,"An All-of-Government panel of five banking services providers covering Crown Transactional banking services, foreign exchange services, payment services, and card services.",All-of-Government,"Ministry of Business, Innovation and Employment"
https://www.procurement.govt.nz/contracts/external-legal-services/,External legal services,"​An All-of-Government panel of 30 providers who provide legal services in nine areas of law, including banking and finance, employment, and property law.",All-of-Government,"Ministry of Business, Innovation and Employment"
https://www.procurement.govt.nz/contracts/vehicle-booking-and-fleet-management/,Vehicle booking and fleet management,A contract for a fleet management booking tool to increase efficiency and cost savings.,Syndicated,Ministry of Social Development
https://www.procurement.govt.nz/contracts/property-consultancy-services/,Property consultancy services,"Experienced providers across seven sub-categories with the capacity, capability and expertise to deliver quality, value for money property consultancy services. The contract scope is intended for office accommodation, but may be useful in operational property settings too.",Common Capability,"Ministry of Business, Innovation and Employment"
https://www.procurement.govt.nz/contracts/offsite-document-storage-and-destruction-of-records-services/,Offsite document storage and destruction of records services,This contract covers the provision of off-site storage and destruction of records.,Syndicated,New Zealand Police
https://www.procurement.govt.nz/contracts/data-cabling-small-works/,Data cabling - small works,The contract covers data cabling for small works (small jobs and business-as-usual work) as part of the cabling panel.,Syndicated,New Zealand Police
https://www.procurement.govt.nz/contracts/scheduled-cleaning-services/,Scheduled cleaning services,This nationwide contract covers scheduled cleaning services. The supplier is OCS.,Syndicated,New Zealand Police
https://www.procurement.govt.nz/contracts/aviation-fuel/,Aviation fuel,"This contract covers purchase, delivery and disposal of aviation fuel.",Syndicated,New Zealand Defence Force
https://www.procurement.govt.nz/contracts/design-services/,Design services,"An All-of-Government contract with a panel of 84 providers offering services design strategy and production, as well as project, account and relationship management.",All-of-Government,"Ministry of Business, Innovation and Employment"
